gset,mplay,gplay,预测
日职乙,"福冈黄蜂
		   ","大宫松鼠
		   ",True
日职乙,"山形山神
		   ","鹿儿岛联队
		   ",True
日职乙,"东京绿茵
		   ","京都不死鸟
		   ",True
日职乙,"横滨FC
		   ","FC琉球
		   ",True
日职乙,"金泽
		   ","德岛漩涡
		   ",True
日职乙,"町田泽维亚
		   ","枥木SC
		   ",True
日职乙,"千叶市原
		   ","长崎成功丸
		   ",True
韩K联,"庆南FC
		   ","FC首尔
		   ",True
韩K联,"全北现代
		   ","尚州尚武
		   ",True
韩K联,"浦项制铁
		   ","大邱FC
		   ",False
韩K联,"水原三星
		   ","江原FC
		   ",True
瑞典超,"艾斯基斯杜拿
		   ","诺科平
		   ",True
瑞典超,"索尔纳
		   ","哈马比
		   ",True
瑞典超,"埃尔夫斯堡
		   ","赫根
		   ",True
巴西甲,"博塔弗戈
		   ","瓦斯科达伽马
		   ",True
瑞典超,"赫尔辛堡
		   ","马尔默
		   ",True
